0x9312 0x9515  // 錒 锕
0x9384 0x953F  // 鎄 锿
0x769A 0x7691  // 皚 皑
0x566F 0x55F3  // 噯 嗳
0x85F9 0x853C  // 藹 蔼
0x9744 0x972D  // 靄 霭
0x611B 0x7231  // 愛 爱
0x5B21 0x5AD2  // 嬡 嫒
0x7919 0x788D  // 礙 碍
0x66D6 0x66A7  // 曖 暧
0x74A6 0x7477  // 璦 瑷
0x83F4 0x5EB5  // 菴 庵
0x8AF3 0x8C19  // 諳 谙
0x9D6A 0x9E4C  // 鵪 鹌
0x978C 0x978D  // 鞌 鞍
0x57B5 0x57EF  // 垵 埯
0x92A8 0x94F5  // 銨 铵
0x95C7 0x6697  // 闇 暗
0x667B 0x6697  // 晻 暗
0x7FF6 0x7FF1  // 翶 翱
0x7FFA 0x7FF1  // 翺 翱
0x9C32 0x9CCC  // 鰲 鳌
0x9F07 0x9CCC  // 鼇 鳌
0x8956 0x8884  // 襖 袄
0x5ABC 0x5AAA  // 媼 媪
0x5DB4 0x5C99  // 嶴 岙
0x5967 0x5965  // 奧 奥
0x9A41 0x9A9C  // 驁 骜
0x9200 0x94AF  // 鈀 钯
0x57BB 0x575D  // 垻 坝
0x58E9 0x575D  // 壩 坝
0x7F77 0x7F62  // 罷 罢
0x9B81 0x9C85  // 鮁 鲅
0x8987 0x9738  // 覇 霸
0x64FA 0x6446  // 擺 摆
0x5504 0x5457  // 唄 呗
0x6557 0x8D25  // 敗 败
0x7CBA 0x7A17  // 粺 稗
0x9812 0x9881  // 頒 颁
0x5C85 0x5742  // 岅 坂
0x95C6 0x677F  // 闆 板
0x9211 0x94A3  // 鈑 钣
0x8FA6 0x529E  // 辦 办
0x7D46 0x7ECA  // 絆 绊
0x5E6B 0x5E2E  // 幫 帮
0x7D81 0x7ED1  // 綁 绑
0x7253 0x699C  // 牓 榜
0x8255 0x8180  // 艕 膀
0x8B17 0x8C24  // 謗 谤
0x938A 0x9551  // 鎊 镑
0x9F59 0x9F85  // 齙 龅
0x88E6 0x8912  // 裦 褒
0x5BF6 0x5B9D  // 寶 宝
0x98FD 0x9971  // 飽 饱
0x9D07 0x9E28  // 鴇 鸨
0x7DE5 0x8913  // 緥 褓
0x5831 0x62A5  // 報 报
0x9B91 0x9C8D  // 鮑 鲍
0x76C3 0x676F  // 盃 杯
0x686E 0x676F  // 桮 杯
0x9D6F 0x9E4E  // 鵯 鹎
0x8C9D 0x8D1D  // 貝 贝
0x72FD 0x72C8  // 狽 狈
0x5099 0x5907  // 備 备
0x63F9 0x80CC  // 揹 背
0x92C7 0x94A1  // 鋇 钡
0x8A96 0x6096  // 誖 悖
0x618A 0x60EB  // 憊 惫
0x8F29 0x8F88  // 輩 辈
0x97DD 0x97B4  // 韝 鞴
0x9029 0x5954  // 逩 奔
0x7287 0x5954  // 犇 奔
0x8CC1 0x8D32  // 賁 贲
0x931B 0x951B  // 錛 锛
0x7DB3 0x7EF7  // 綳 绷
0x7E43 0x7EF7  // 繃 绷
0x506A 0x903C  // 偪 逼
0x7C83 0x79D5  // 粃 秕
0x7B46 0x7B14  // 筆 笔
0x5E63 0x5E01  // 幣 币
0x7562 0x6BD5  // 畢 毕
0x9589 0x95ED  // 閉 闭
0x55F6 0x54D4  // 嗶 哔
0x84FD 0x835C  // 蓽 荜
0x6583 0x6BD9  // 斃 毙
0x924D 0x94CB  // 鉍 铋
0x7BF3 0x7B5A  // 篳 筚
0x6F77 0x6ED7  // 潷 滗
0x75FA 0x75F9  // 痺 痹
0x8E55 0x8DF8  // 蹕 跸
0x95E2 0x8F9F  // 闢 辟
0x7358 0x5F0A  // 獘 弊
0x908A 0x8FB9  // 邊 边
0x7C69 0x7B3E  // 籩 笾
0x7DE8 0x7F16  // 編 编
0x9BFF 0x9CCA  // 鯿 鳊
0x8CB6 0x8D2C  // 貶 贬
0x8B8A 0x53D8  // 變 变
0x7DF6 0x7F0F  // 緶 缏
0x8FAF 0x8FA9  // 辯 辩
0x8FAE 0x8FAB  // 辮 辫
0x6A19 0x6807  // 標 标
0x98AE 0x98D1  // 颮 飑
0x9A43 0x9AA0  // 驃 骠
0x81D5 0x8198  // 臕 膘
0x93E2 0x9556  // 鏢 镖
0x98C6 0x98D9  // 飆 飙
0x98C7 0x98D9  // 飇 飙
0x98C8 0x98DA  // 飈 飚
0x9463 0x9573  // 鑣 镳
0x9336 0x8868  // 錶 表
0x9C3E 0x9CD4  // 鰾 鳔
0x9C49 0x9CD6  // 鱉 鳖
0x9F08 0x9CD6  // 鼈 鳖
0x5225 0x522B  // 別 别
0x5F46 0x522B  // 彆 别
0x765F 0x762A  // 癟 瘪
0x8CD3 0x5BBE  // 賓 宾
0x8CD4 0x5BBE  // 賔 宾
0x5110 0x50A7  // 儐 傧
0x6FF1 0x6EE8  // 濱 滨
0x7E7D 0x7F24  // 繽 缤
0x6AB3 0x69DF  // 檳 槟
